question,answer,source_verified,manual_verified,url,final_answer
How to list all installed packages,"apt list --installed
dpkg --get-selections | grep -v deinstall
dpkg --get-selections | grep postgres
dpkg --get-selections | grep -v deinstall > ~/Desktop/packages
dpkg -l",True,False,https://askubuntu/a/17829,
How can PPAs be removed?,"sudo add-apt-repository --remove ppa:whatever/ppa
sudo apt-get install ppa-purge
sudo ppa-purge ppa:whatever/ppa
sudo apt-get purge package_name",True,False,https://askubuntu/a/310,
“The following packages have been kept back:” Why and how do I solve it?,"sudo apt-get --with-new-pkgs upgrade
sudo apt-get install <list of packages kept back>
sudo apt-get dist-upgrade",True,False,https://askubuntu/a/602,
How to upgrade a single package using apt-get?,apt-get install --only-upgrade <packagename>,True,False,https://askubuntu/a/44124,
How can I update my nodeJS to the latest version?,"sudo npm cache clean -fsudo npm install -g nsudo n stable
sudo n latest
sudo apt-get install --reinstall nodejs-legacy     # fix /usr/bin/node
sudo n rm 6.0.0     # replace number with version of Node that was installedsudo npm uninstall -g n",True,False,https://askubuntu/a/480642,
How do I search for available packages from the command-line?,"apt-cache search keyword
apt-cache search proxy
apt-cache search something | less
apt-cache search .
sudo apt-get install synaptic",True,False,https://askubuntu/a/160899,
How do I resolve unmet dependencies after adding a PPA?,"<some-package>: Depends: <other-package> (= version) but this-version is to be installed
Ubuntu Software
apt-get clean
apt-get autoclean
apt-get clean
0 upgraded, 0 newly installed, 0 to remove and 1 not upgraded.
0 upgraded, 0 newly installed, 0 to remove and 6 not upgraded.
Software Center > Edit > Software Sources
Other Software
mkdir ppa-purge && cd ppa-purge && wget http://mirror.pnl.gov/ubuntu/pool/universe/p/ppa-purge/ppa-purge_0.2.8+bzr56_all.deb && wget http://mirror.pnl.gov/ubuntu//pool/main/a/aptitude/aptitude_0.6.6-1ubuntu1_i386.deb && sudo dpkg -i ./*.deb
PPA Purge
PPA Purge
PPA Purge
Y PPA Manager
Session Indicator
Y PPA Manager
Scan and remove duplicate PPAs
Y PPA Manager
sudo su
mkdir y-ppa-manager && cd y-ppa-manager && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/launchpad-getkeys_0.3.2-1~webupd8~oneiric_all.deb && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/y-ppa-manager_0.0.8.6-1~webupd8~precise_all.deb && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/yad_0.17.1.1-1~webupd8~precise_i386.deb && dpkg -i ./*.deb
mkdir y-ppa-manager && cd y-ppa-manager && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/launchpad-getkeys_0.3.2-1~webupd8~oneiric_all.deb && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/y-ppa-manager_0.0.8.6-1~webupd8~precise_all.deb && wget https://launchpad.net/~webupd8team/+archive/y-ppa-manager/+files/yad_0.17.1.1-1~webupd8~precise_amd64.deb && dpkg -i ./*.deb",True,False,https://askubuntu/a/142808,
What does “sudo apt-get update” do?,"apt-get update
apt-get update
apt-get upgrade
apt-get update
apt-get dist-upgrade
apt-get upgrade
sudo apt-get update && sudo apt-get install foo bar baz foo-dev foo-dbg
sudo apt-get update && sudo apt-get dist-upgrade",True,False,https://askubuntu/a/222352,
What is the difference between apt and apt-get?,"The `apt` command is meant to be pleasant for end users and does not need       to be backward compatible like apt-get(8).
dpkg list
apt-cache search
apt-cache show
apt-cache show
apt-get update
apt update
apt-get upgrade --with-new-pkgs
apt-cache policy
# echo \'Dpkg::Progress-Fancy ""1"";\' > /etc/apt/apt.conf.d/99progressbar",True,False,https://askubuntu/a/446484,
What is the difference between apt-get update and upgrade?,"apt-get update
apt-get upgrade
apt-get update && apt-get upgrade",True,False,https://askubuntu/a/94104,
